02-26-2015 15:26:40;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 15:27:37;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 15:32:13;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 15:36:25;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 15:37:43;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 15:48:32;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:06:00;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 16:06:44;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 16:07:00;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 16:10:45;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Linux; Android 4.2.2; GT-I9105P Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36;;;
02-26-2015 16:13:33;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:26:18;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:26:19;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0;;;
02-26-2015 16:26:22;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:26:56;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4;;;
02-26-2015 16:26:59;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
